Date,Open,High,Low,Close,Volume,MA_50,MA_200
2020-01-02,151.28912308572728,153.14712365624922,150.86035596005522,153.0423126220703,22622100,,
2020-01-03,150.8508074465806,152.40389764073367,150.60306438648712,151.1366424560547,21116200,,
2020-01-06,149.66932792275708,151.59403303057528,149.1262122356397,151.52732849121094,20813700,,
2020-01-07,151.8036372690105,152.13711630992103,149.89799290182077,150.14572143554688,21634100,,
2020-01-08,151.43201531179338,153.21380259511494,150.4982536880769,152.53729248046875,27746500,,
2020-01-09,154.2047570722111,154.5668341975591,153.432973337792,154.44296264648438,21385000,,
2020-01-10,155.1384890667648,155.51961206114564,153.57584698863667,153.72830200195312,20725900,,
2020-01-13,154.12856423207592,155.60544203274048,153.65215297630783,155.5768585205078,21626500,,
2020-01-14,155.6815991715623,155.8816982056142,154.09038804158996,154.48104858398438,23477400,,
2020-01-15,154.94795870026942,156.2056911224707,154.90032921611618,155.48153686523438,21417900,,
2020-01-16,156.59631569910383,158.39714886065596,156.2914056528102,158.3304443359375,23865400,,
2020-01-17,159.52150934840557,159.56915337167442,157.62538771805643,159.21661376953125,34371700,,
2020-01-21,158.81639847951428,160.25516931694727,158.57819292777114,158.6448974609375,29517200,,
2020-01-22,159.50245499342603,159.5882200541892,157.86359939428257,157.88265991210938,24138800,,
2020-01-23,158.34951287805555,158.93073496172778,157.47291825887828,158.85450744628906,19680800,,
2020-01-24,159.6072409094811,159.62630142430766,156.69160731427516,157.25376892089844,24918100,,
2020-01-27,153.5472991294745,155.67210320610195,152.64212090354462,154.62399291992188,32078100,,
2020-01-28,156.05327280609987,157.93985734467313,155.37677695156876,157.65402221679688,24899900,,
2020-01-29,159.92165162986998,160.7887231968926,157.873090009148,160.11221313476562,34754500,,
2020-01-30,165.8387045815864,165.8387045815864,162.73249494656676,164.6286163330078,51597500,,
2020-01-31,164.0855119347184,164.26653593393684,161.5795849806354,162.19891357421875,36142700,,
2020-02-03,162.38946303348897,166.26745594744494,162.36087953368826,166.1531219482422,30107000,,
2020-02-04,168.782923631767,172.11780132594467,167.99207946247816,171.62232971191406,36433300,,
2020-02-05,175.3478803350405,175.50985837548566,169.99302385604904,171.4127197265625,39186300,,
2020-02-06,172.43225551016033,175.1478049234998,171.56518371416328,174.96676635742188,27751400,,
2020-02-07,174.22348813693384,176.87233182399024,173.87093415171276,175.21441650390625,33529100,,
2020-02-10,174.9190865262063,179.93092564316706,174.6046534819514,179.7975311279297,35844300,,
2020-02-11,181.65552722032552,181.7031712330215,174.84285503323278,175.73851013183594,53159900,,
2020-02-12,176.82473920569333,177.0820052612557,173.27071659952438,175.99578857421875,47062900,,
2020-02-13,174.44271653821934,177.4441011071829,174.2426174487947,175.04299926757812,35295800,,
2020-02-14,174.60464340947937,176.6627425591971,174.0329443549208,176.60557556152344,23149500,,
2020-02-18,176.85337443167694,178.84476985051404,176.74856338126884,178.39694213867188,27792200,,
2020-02-19,179.67716061626436,179.79180691119132,178.15803889398828,178.9319305419922,29997500,,
2020-02-20,178.61667131607516,178.9033016844323,173.02744473692812,176.19944763183594,36862400,,
2020-02-21,175.0051344424587,175.32042633189093,169.3490221652734,170.62928771972656,48572600,,
2020-02-24,160.29158667444042,166.76936419311608,155.95395089540563,163.2725067138672,68311100,,
2020-02-25,166.43500677501711,167.04647809888743,160.17697106093158,160.57826232910156,68073300,,
2020-02-26,162.14513803050656,165.53688417349048,160.71200092942902,162.58462524414062,56206100,,
2020-02-27,156.03998687134066,159.58460475023864,150.93800730931096,151.12908935546875,93174900,,
2020-02-28,145.61629161864823,156.4125943556021,145.2245639669726,154.78836059570312,97012700,,
2020-03-02,157.94127142356453,165.21205473784656,155.07499702232786,165.0878448486328,71030800,,
2020-03-03,166.0528139286919,167.19932064021432,155.02720484930217,157.17691040039062,71677000,,
2020-03-04,160.97950515816524,163.09098547891745,158.23742648844703,162.9476776123047,49814400,,
2020-03-05,158.64829536210627,163.2534354451266,158.3043418414081,158.85848999023438,47817300,,
